Username,Name,Label,Investor Score,Can DM,Reason,Followers,Following,URL
alvsnarv,Al not ai,HUMAN,85,True,"Authentic human with personal Tesla ownership details (Model Y, Cybertruck), long-term investment signal ('TSLA bagholder since '17'), high tweet volume suggests active user, bio includes investor-relevant keywords (TSLA, HODLing) and specific interests, suitable for DM as a peer in Tesla/EV community.",472,142,https://x.com/alvsnarv
James14242834,Satoshi X,HUMAN,85,True,"Authentic human with unique bio detailing specific expertise in Bitcoin blockchain since 2009 and renewable energy engineering, indicating genuine personal interests. High investor signal from keywords like 'Bitcoin blockchain technology expert' and 'Mining bitcoin', suggesting crypto/tech investor or builder alignment. DM suitable as a peer in tech/crypto space.",440,594,https://x.com/James14242834
Prettysoulherb,Prettysoul,HUMAN,85,True,"Authentic human with unique personal details (Tesla, PLTR, SoFi investments, love for philosophers, red wines, and nature). Strong investor signals from bio keywords (investor, Tesla, PLTR, SoFi) and engagement (high tweet count). Suitable for DM as a peer investor.",414,31,https://x.com/Prettysoulherb
bentruong,Ben Truong,HUMAN,85,True,"Authentic human with personal interests (Hiker, Photographer), clear investor/entrepreneur keywords (Entrepreneur, Investor, Coach), and specific high-value tech focus (AI, Humanoid Robotics, Self Driving Car, Tesla, Nvidia). Suitable for DM as a professional peer.",341,362,https://x.com/bentruong
Mcog94,Mariano Olivera,HUMAN,85,True,"Authentic human with unique personal details (name, specific interests in cybersec, energy, AI, fintech, physics, software, M&A, and soccer), clear investor signals (US RE Investor, Senior Tech Exec, mentions of BTC/ETH price and Central Banks), and suitable for DM as a professional peer in tech and investment fields.",286,310,https://x.com/Mcog94
LeeMatt17631,ThunderX,HUMAN,85,True,"Authentic human with specific personal details (Tesla Model 3 collection date, advocacy for FSD in specific locations), strong investor signals (focus on $TSLA and $EOSE, indicating equity interest), and suitable for DM as a peer investor in Tesla/crypto topics.",275,512,https://x.com/LeeMatt17631
AiRTSLA,AiRTSLA,HUMAN,85,True,"Authentic human with unique bio focused on Tesla, SpaceX, and tech interests; high investor signal from keywords like Tesla, $TSLA, and tech; suitable for DM as a potential peer in investment/tech discussions.",267,214,https://x.com/AiRTSLA
j03labadawa,DM for Tesla Market Pulse 🚀📈,HUMAN,85,True,"Authentic human with unique bio containing personal details (e.g., 'Married to my Cybertruck'), specific interests in Tesla and investments, and keywords like 'INVESTOR' and '$TSLA'. High investor signal due to focus on Tesla shares, Dogecoin, BTC, ETH, and support for Elon Musk, making them suitable for DM from a professional peer in investment contexts.",269,53,https://x.com/j03labadawa
sLachapelle72,sLachapelle,HUMAN,85,True,"Bio includes 'Investor' and 'fan of disruptive tech', which are strong investor/alpha signals. Username and name appear personal and non-generic, suggesting authenticity. Follower/following ratio and tweet count are plausible for a human user.",226,778,https://x.com/sLachapelle72
QD_1987,K&D Capital Management,HUMAN,85,True,"Authentic human profile with professional details: username suggests personal initials/year, name indicates a capital management firm, bio specifies a long/short investment strategy, and stats show moderate engagement. Strong investor signal from keywords like 'Capital Management' and strategy mention, suitable for DM from a peer.",228,396,https://x.com/QD_1987
owings357,OWINGS,HUMAN,85,True,"Authentic human with specific personal details (Model 3 Owner, Tesla investor, Game developer), clear investor signals (Tesla investor), and suitable for DM as a professional peer in tech/investing.",133,128,https://x.com/owings357
InvestingAlpha1,しろ@投資🇺🇸💹10X株🚀,HUMAN,85,True,"Authentic human with unique bio containing personal interests (investment, Tesla, Bitcoin, physical metal trading, cultural topics), location-specific (U.S. flag), and investor signals (keywords: 投資, Tesla $TSLA, Bitcoin, trader). High following count suggests active engagement, suitable for DM from a professional peer.",121,1122,https://x.com/InvestingAlpha1
Christopherhwan,Christopher hwang,HUMAN,85,True,"Authentic human with personal investment focus on Tesla and NIO, high investor signal from bio keywords like 'investor', 'TSLA', and specific holdings, suitable for DM as a peer investor.",86,947,https://x.com/Christopherhwan
nikkitson,Kemyst,HUMAN,85,True,"Bio includes specific investor keywords ('Founder', 'Business Technologist', '$TSLA investor'), indicating genuine professional identity and potential alpha signal. Authenticity supported by unique name and bio details, not generic or bot-like. DM suitability high as a peer in business/tech/investing.",85,91,https://x.com/nikkitson
eliranngr,EliranNGR,HUMAN,75,True,"Authentic human with unique personal details (Ex IT Architect, specific interests in Tesla, SpaceX, astrophysics). Strong investor/alpha signals from Tesla, Elon Musk, and tech-related affiliations, indicating potential as a peer or investor in tech/innovation sectors.",1340,471,https://x.com/eliranngr
gustavoadrn,Gustavo Adrian,HUMAN,75,True,"Authentic human with personal name and bio referencing Elon Musk (rockets/electric cars), indicating tech/entrepreneurial interest. High tweet count suggests active user, suitable for DM as potential peer in tech/investment circles.",1189,988,https://x.com/gustavoadrn
SQIRREL666,SQIRREL,HUMAN,75,True,"Authentic human with unique personal interests (car enthusiast, Tesla fanatic, retired entrepreneur, glamping lover) and specific ownership details (Cybertruck and Model Y). High investor signal due to 'retired entrepreneur' and Tesla focus, indicating potential wealth and investment mindset. Suitable for DM as a peer in entrepreneurial/tech circles.",910,131,https://x.com/SQIRREL666
teslasimulator,CyberSimulator 🙃 𝕏,HUMAN,75,True,"Authentic human with unique bio referencing Tesla and simulation, high tweet volume suggests active user, strong investor signal from $TSLA mention and tech/crypto interest, suitable for DM as peer in investment/tech space.",744,828,https://x.com/teslasimulator
salvopolise,Salvatore Polise,HUMAN,75,True,"Authentic human with personal name and specific interests in Tesla and space, indicating potential investor alignment with tech/equity themes.",698,1420,https://x.com/salvopolise
bitstheen,STHEEN,HUMAN,75,True,"Authentic human with unique bio combining tech, finance, and Bitcoin interests; high investor signal from keywords like 'finance', 'sound money ₿', and 'robot overlord maximalist' suggesting crypto/tech focus; suitable for DM as a peer in tech/finance space.",704,1107,https://x.com/bitstheen
elonteam42069,Optimus Economy 👀,HUMAN,75,True,"Authentic human with personal details (e.g., 'Some dude on X', 'Ex coding warrior'), specific investment history ('HODLing $tsla since 2014'), and investor signals (Tesla focus, retirement mention). High follower-to-tweet ratio suggests genuine engagement, suitable for DM as a peer investor.",565,1021,https://x.com/elonteam42069
TheCyberhemian,The Convergence,HUMAN,75,True,"Authentic human with unique literary bio referencing 'Moby-Dick', specific interests in SpaceX, Tesla, and xAi indicating tech/innovation focus, and follower/following ratio suggests genuine engagement, though not explicitly an investor, high potential for alpha signal in tech convergence topics.",506,909,https://x.com/TheCyberhemian
Jekineer,Jek,HUMAN,75,True,"Authentic human with unique bio humor, specific professional role (Manufacturing Equipment Engineer & Technomancer), Tesla affiliation (Semi Battery @Tesla SFNV) indicating tech/industry expertise, and high tweet count (13904) suggesting active engagement. Strong investor/alpha signals from Tesla and engineering background, suitable for DM as a professional peer.",507,454,https://x.com/Jekineer
teslamonthly,Ray 𝕏 Kine Burgers,HUMAN,75,True,"Authentic human with unique bio combining personal interests (burgers) and investment focus (Tesla, wisdom). High investor signal from keywords like 'Investment' and 'Tesla', suggesting potential for DM engagement as a peer investor.",371,614,https://x.com/teslamonthly
CryptoNfood,Crypto 'N Food 🧑‍🍳,HUMAN,75,True,"Authentic human with unique bio blending crypto and food metaphors, clear personal interests, and specific mention of #Coinbase. Shows investor/alpha signals through crypto engagement and trading terminology, suitable for DM as a peer in crypto space.",367,680,https://x.com/CryptoNfood
greentechfusion,GreenTechFusion.solar,HUMAN,75,True,"Authentic human with specific interests in renewable energy, Tesla, and SpaceX; bio includes investor keyword and $TSLA signal, indicating potential for DM engagement as a peer in tech/investing.",329,510,https://x.com/greentechfusion
Imran_Razaq,Imran Raz,HUMAN,75,True,"Authentic human with personal details (father of three boys), bio includes investor keywords (investments, finance, tech), and shows genuine interests, making them suitable for DM as a potential peer or investor.",330,1058,https://x.com/Imran_Razaq
ietanalex,Alex,HUMAN,75,True,"Authentic human with unique personal details (Austrian CIO, Tesla Owners Club Austria, oldschool CS gamer). Strong investor/alpha signals: IT & Digitalization enthusiast, Tesla, AI, robotics, and CIO role indicate tech-savvy and potential investment interest. Suitable for DM as a professional peer in tech/innovation.",291,405,https://x.com/ietanalex
SpaceXWallets,JackieLovesFSD ♥️,HUMAN,75,True,"Bio contains specific personal details (redesigned car dash in 2015, CarPlay, Car keys, app-based, Made in USA), interests in tech (FSD, AI, SpaceX, Starlink), and keywords like 'Goals' and 'Shop' suggesting entrepreneurial or investor mindset, with no generic bot-like phrases.",214,1396,https://x.com/SpaceXWallets
garyjlavin,Gary Lavin,HUMAN,75,True,"Authentic human with personal details (family, specific interests), bio signals founder/entrepreneur with AI focus, suitable for DM as professional peer.",180,347,https://x.com/garyjlavin
WasteofAmmo,Jason C,HUMAN,75,True,"Authentic human with unique bio focused on AI, abundance, and multi-planetary themes; includes personal name and specific interests (e.g., Tesla, tech), aligning with investor/alpha signals like 'Real-world AI' and space/tech keywords, suitable for professional DM.",169,1061,https://x.com/WasteofAmmo
INKAMEN,Clint,HUMAN,75,True,"Authentic human with unique bio focused on Tesla, SpaceX, xAI, Neuralink, and cutting-edge tech, indicating genuine interest in high-tech investments. Bio includes investor-relevant keywords like 'Tesla' and 'cutting-edge tech', suggesting potential for alpha signals. Suitable for DM as a professional peer interested in tech and innovation.",145,776,https://x.com/INKAMEN
9562MARS,Manny,HUMAN,75,True,"Authentic human with personal details (Manny, Rio Grande Valley, God, Family), diverse interests (Builder, Insurance, XRP, World Traveler, SpaceX, Tesla, Texas), and investor/alpha signals (Builder, XRP, SpaceX, Tesla). Suitable for DM as a professional peer.",133,270,https://x.com/9562MARS
HalfBullBear,OAKLAND - Neither Bull nor Bear,HUMAN,75,True,"Authentic human with unique bio, specific location (OAKLAND), and personal interests in technical analysis and trading. Strong investor signals from keywords like Technical Analyst, Stock/Crypto Trader, and market-related hashtags (#BTC, #SPX, #ETH). Suitable for DM as a professional peer in finance/crypto.",102,409,https://x.com/HalfBullBear
milkkyway01,Crypto James,HUMAN,75,True,"Authentic human with unique bio referencing crypto and tech concepts (Zero-knowledge, Bitcoin, neural nets), likely a crypto enthusiast or investor; investor signals from 'Crypto' in name and bio, but limited follower count suggests niche focus.",60,24,https://x.com/milkkyway01
stjdjordje,Djordje Stojanovic,HUMAN,75,True,"Authentic human with personal details (age, profession, location, learning focus). Bio includes 'long term investor' and references to 'greatest Investors', indicating genuine interest in investing. Suitable for DM as a peer investor.",9,146,https://x.com/stjdjordje
DrVivek1886,Dr.Vivek Raskar,HUMAN,70,True,"Authentic human with unique personal details (Dr.Vivek Raskar, Metabolic Physician, Senior Medical Advisor), bio includes 'Investor' and 'Techno-Enthusiastic' indicating investor/alpha signals, suitable for DM as a professional peer.",1119,442,https://x.com/DrVivek1886
809trader,809 trader🇩🇴,HUMAN,70,True,"Authentic human with personal details (location reference to Dominican Republic via flag, specific sports team interest), bio includes investor keyword ('Biotech investor') and personal philosophy, high tweet count suggests active engagement, suitable for DM as a professional peer in investing.",1100,403,https://x.com/809trader
kinderadam,Adam Kinder,HUMAN,70,True,"Authentic human with personal details (former football player, specific university), clear Tesla affiliation (#0.3% suggests ownership/interest), and high tweet count indicating active engagement. Investor signals from Tesla involvement and potential tech/equity interest, suitable for DM as a professional peer in tech/investing circles.",1096,1093,https://x.com/kinderadam
NavSha,Navneet Sharma ⚡️,HUMAN,70,True,"Authentic human with unique bio detailing co-founder role at Airtribe, specific past experience as Product Director at Unacademy, and personal interests in tech, science, and art. Shows investor/alpha signals through entrepreneurial keywords like 'Co-founder' and 'Product Director', indicating potential as a peer or partner for @TheCaptainEli. DM suitable for professional engagement.",992,1038,https://x.com/NavSha
yonyoniz,Yonatan George,HUMAN,70,True,"Authentic human with personal details (Israeli, Tel Aviv, languages), bio includes 'Building Agents' and 'Vibe Engineering' suggesting tech/entrepreneurial focus, high tweet count indicates active engagement, suitable for DM as a peer in tech/building space.",841,1147,https://x.com/yonyoniz
nurav010,varun,HUMAN,70,True,"Authentic human with unique personal details (snowboarder, traveler, dental surgeon, founder of MDapp). Bio includes investor/builder keywords (Founder, builder, 𝕏 scientist) and diverse interests, indicating a real person with entrepreneurial and tech focus suitable for professional DM engagement.",646,859,https://x.com/nurav010
theJoshTW,Josh TW,HUMAN,70,True,"Authentic human with unique bio focused on energy innovation in Africa, indicating real interests and location specificity. Bio includes 'Cactus Is The New Lithium,' suggesting entrepreneurial or tech-investor mindset, aligning with investor signals like 'Builder' and 'Tech.' High tweet count supports genuine activity, suitable for DM from a professional peer.",391,112,https://x.com/theJoshTW
MU_sings,UM🐷🐔🌊⛰️🪙,HUMAN,70,True,"Authentic human with personal interests in AI, Tesla, and SpaceX; bio shows genuine engagement with tech trends, though lacks explicit investor keywords, suggesting potential for alpha interest.",306,521,https://x.com/MU_sings
LouisPolart,Louis Polart,HUMAN,70,True,"Authentic human with specific professional details (Software engineer in C++ & Python, AI enthusiast) and explicit 'Investor' keyword in bio. Moderate follower count and high tweet volume suggest genuine activity. Suitable for DM as a peer in tech/investing.",234,598,https://x.com/LouisPolart
MKing_SF,Michael King,HUMAN,70,True,"Authentic human with specific details: name, current role at xAI, ex-Tesla, Clemson alum. Shows tech/entrepreneurial signal, suitable for DM as professional peer.",214,636,https://x.com/MKing_SF
SarahLeePresley,Sarah Presley,HUMAN,70,True,"Authentic human with unique bio detailing founder/CEO role and specific interests in space exploration; investor signals from 'Founder & CEO' and tech focus, suitable for DM as a professional peer.",202,182,https://x.com/SarahLeePresley
Orbitrn,Orbitron,HUMAN,70,True,"Bio includes specific interests in high-tech companies (Tesla, SpaceX, etc.) and AI, which are common among tech enthusiasts and potential investors. The username and name are coherent and not generic, suggesting authenticity. However, the follower count is low, which may indicate a niche or new account rather than a high-profile investor.",36,57,https://x.com/Orbitrn
JoeShmo2pt0,Joe Shmo,HUMAN,65,True,"Authentic human with personal details (Tesla owner, referral code, specific car model), investor signal from $TSLA holder mention, suitable for DM as a peer in Tesla/investing community.",1487,359,https://x.com/JoeShmo2pt0
TwinNasT,TooNasT,HUMAN,65,True,"Authentic human with unique bio indicating developer role and Bitcoin interest ('stacking sats'), moderate follower count, and no bot-like generic phrases; investor signals from crypto involvement but limited explicit investor keywords.",1372,711,https://x.com/TwinNasT
mosetibosire,Moseti🛡️,HUMAN,65,True,"Authentic human with unique bio detailing specific interests (tech, math, physics, crypto), personal expression, and location signals. Investor signals include keywords like 'crypto' and specific crypto mentions ($ZEC, $Zodler), but lacks direct investor/VC terms. High tweet count and balanced follower ratio support authenticity.",1252,995,https://x.com/mosetibosire
SatoshiDegene,Castlejnr,HUMAN,65,True,"Authentic human with unique bio detailing personal growth, onchain activities, and roles like Vibecoder, streamer, and Agentic Engineer. Shows investor/alpha signals through 'onchain things' and tech-related terms, but lacks direct investor keywords like 'Investor' or 'VC'. Suitable for DM as a professional peer in tech/crypto space.",1142,1215,https://x.com/SatoshiDegene
TheAIObserverX,nat | localhost: auriel,HUMAN,65,True,"Authentic human with personal details (name 'nat', location 'localhost: auriel', specific interests in AI/LLMs/Robots, proud Tesla owner, personal blog). Shows investor/alpha signals through tech/AI focus and Tesla ownership, but lacks direct investor keywords like 'investor' or 'VC'. DM suitable as a professional peer in tech/AI space.",1133,311,https://x.com/TheAIObserverX
SkipCampbell4,Skip Campbell,HUMAN,65,True,"Authentic human with personal name and bio containing disclaimers and specific interests in Energy & Health, indicating real engagement; investor signals moderate due to focus on sectors but lacks direct keywords like investor or founder.",1126,798,https://x.com/SkipCampbell4
HemalParikh0,Hemal Parikh,HUMAN,65,True,Authentic human with personal name and bio focused on wealth management and learning; investor signals include 'managing money to grow wealth' and high tweet volume indicating active engagement; suitable for DM as a peer interested in financial growth.,1101,226,https://x.com/HemalParikh0
voidfreud,Void Freud,HUMAN,65,True,"Authentic human with unique bio containing personal details (Computer Science @KingsCollegeLon) and specific interests (AI e/acc, libertarian). Shows investor/alpha signals through pro-capitalist stance and tech focus, but lacks direct investor keywords like 'Investor' or 'VC'. DM suitable as a professional peer in tech/AI space.",1099,384,https://x.com/voidfreud
Tesladamu1785,Damodara Rao Pedamallu,HUMAN,65,True,"Authentic human with personal name and specific interests (Software Engineer, TSLA Enthusiast). Shows investor/alpha signal through TSLA focus, but not explicitly an investor. Suitable for DM as a professional peer in tech/TSLA.",968,144,https://x.com/Tesladamu1785
female_muskito,Shadowfax,HUMAN,65,True,"Authentic human with unique interests (Tolkien, Tesla, SpaceX), personal views, and specific hashtags; investor signals from Tesla/SpaceX keywords and entrepreneurial tone, but not explicitly an investor.",934,643,https://x.com/female_muskito
0xRuin_,0xRuin_,HUMAN,65,True,"Authentic human with unique bio detailing Web3/Dev, AI Tech Designer, and personal interests; investor signals from Web3 and tech focus, suitable for DM as a professional peer in tech/crypto.",848,998,https://x.com/0xRuin_
kiwithedoge,Kiwi the Tesla doge,HUMAN,65,True,"Authentic human with personal details (mom, dogmom, horsemom) and specific interests in Tesla, SpaceX, xAI, Neuralink, and The Boring Company. Shows investor/alpha signals through passion for innovation and tech companies, but lacks explicit investor keywords like 'investor' or 'VC'. DM suitable as a peer interested in tech and innovation.",819,1062,https://x.com/kiwithedoge
DavinciFred,Davinci Fred,HUMAN,65,True,"Authentic human with unique bio detailing specific interests in green tech, EVs, Tesla, and politics, indicating genuine personal engagement. Shows investor/alpha signals through focus on Tesla and tech, but lacks direct investor keywords like 'investor' or 'VC'. High tweet count suggests active user, suitable for DM from a professional peer in related fields.",810,881,https://x.com/DavinciFred
SonicCruise,Joe,HUMAN,65,True,"Authentic human with personal interests (Israel supporter, Elon Musk fan, Tesla, FSD tester, SpaceX), location-specific (Israel), and investor/alpha signals (Tesla, Elon Musk fan, tech focus). High tweet count suggests active engagement, but bio lacks explicit investor keywords like 'Investor' or 'VC', lowering score.",739,170,https://x.com/SonicCruise
kindcho,Chapter II,HUMAN,65,True,"Authentic human with personal interests (TSLA, economic freedom, happy parenting, tech industry interest), bio includes investor signals like TSLA and tech, but not explicitly an investor or professional; suitable for DM as a peer with shared interests.",708,1212,https://x.com/kindcho
getmedievalt,Jeffrey Simpson,HUMAN,65,True,"Authentic human with personal name and specific interests in high-tech companies (TESLA, SpaceX, Neuralink), indicating potential investor/alpha signal; bio includes a Tesla referral link, suggesting engagement with investment themes, though not explicitly labeled as an investor.",695,700,https://x.com/getmedievalt
1stOrator,Second Foundation ⚛️,HUMAN,65,True,"Bio shows unique personal interests (Sigma, Libertarian, specific tech topics like AI/Robots/Transhumanism) and a creative username, indicating authenticity. Investor signals are moderate due to tech focus but lack direct keywords like investor or founder; high tweet count suggests active engagement, suitable for DM from a peer in tech/AI fields.",644,182,https://x.com/1stOrator
AcceleratingTec,Accelerating.Tech,HUMAN,65,True,"Authentic human with personal details (Tesla owner, specific interest in electric vehicles), bio includes investor/alpha signals (Tesla, tech focus), suitable for DM as a peer in tech/EV space.",619,980,https://x.com/AcceleratingTec
NewWorldMan42,NewWorldMan,HUMAN,65,True,"Authentic human with personal details (Gen X, retired, technology optimist), diverse interests, and no bot-like generic content. Shows investor/alpha signals through technology focus and independent mindset, suitable for DM as a professional peer.",515,189,https://x.com/NewWorldMan42
prudent_AI,Prudent AI,HUMAN,65,True,"Authentic human with unique bio focusing on AI and robotics, entrepreneurial signal present, but limited direct investor keywords; suitable for professional DM.",509,961,https://x.com/prudent_AI
yourliestophere,Lies are bad,HUMAN,65,True,"Bio shows authentic personal expression with unique phrases (e.g., 'Missionary not Mercenary'), includes crypto-related keywords ('Crypto Geek and Evangelist'), and has a reasonable follower-following ratio, indicating a real user with potential investor interest in crypto.",465,661,https://x.com/yourliestophere
offgridalchemy,Off-Grid Alchemy,HUMAN,65,True,"Authentic human with unique personal details: ex-Film and ex-Game dev background, homestead interest, Hawaiian phrase, and disclaimer. Shows speculator role and diverse interests, but investor keywords are moderate (speculator only).",441,663,https://x.com/offgridalchemy
levichitekwe,Levi Chitekwe,HUMAN,65,True,"Authentic human with unique bio referencing market trenches and soycialism, indicating interest in markets/economics; investor signals moderate due to market-related terms but no explicit investor keywords; suitable for DM as a peer in finance/meme culture.",240,417,https://x.com/levichitekwe
Skythelimit4545,Aurora Sky,HUMAN,65,True,"Bio includes personal details (Aurora Sky, explorer, tech visionary, AI advocate, US flag) and unique interests, not generic bot content. Keywords like 'tech visionary' and 'AI advocate' signal potential investor/alpha interest, though not explicitly financial. High tweet count may indicate bot-like activity, but overall authenticity leans human with moderate investor potential.",208,850,https://x.com/Skythelimit4545
Teslatir,Teslatir,HUMAN,65,True,"Authentic human with specific interests in Tesla and Palantir, indicating potential investor/alpha signal; high tweet count suggests active engagement, but limited bio details reduce certainty.",200,175,https://x.com/Teslatir
drumrollDawg,life,HUMAN,65,True,"Bio shows personal expression and authenticity, not generic bot language. Investment signals present with specific stock/crypto tickers ($TSLA, $BTC, etc.), indicating active interest in markets. High tweet count and follower/following ratio suggest real engagement, though not strongly investor-focused in bio.",194,821,https://x.com/drumrollDawg
Luisito518,Luis 🇺🇸🇵🇷,HUMAN,65,True,"Authentic human with personal details (Software Architect, retired Air Force, father of 4, specific hobbies like RC Helicopters). Bio includes investor/alpha signals (Tesla, SpaceX, tech interests) and ownership of high-value assets (#Tesla #ModelX, #PlaidModelS), indicating potential for investment discussions. DM suitable as a professional peer in tech/EV space.",146,277,https://x.com/Luisito518
tezlawatch,Shaun Tesla Watch 🔋🔋📡🚀📯,HUMAN,65,True,"Authentic human with unique bio expressing personal interests in disruptive tech, robots, rockets, AI, and sustainable economy since 1998; includes Tesla reference and emojis indicating enthusiasm; moderate investor signal due to tech focus but lacks explicit investor keywords; suitable for DM as a peer in tech community.",139,355,https://x.com/tezlawatch
amn81052,Amogh,HUMAN,65,True,"Authentic human with personal details (PNW location, 'random life stuff'), bio includes 'Tesla' as an investor/alpha signal, but lacks direct investor keywords; suitable for DM as a peer interested in relevant topics.",136,479,https://x.com/amn81052
SambitBobby,Sambit Mohanty,HUMAN,65,True,"Authentic human with diverse interests in real estate, science & technology, finance & marketing, and rational thinking; bio shows personal engagement and lacks bot-like generic phrases; investor signals from finance and technology focus, but not explicitly an investor or high-profile; suitable for DM as a professional peer.",136,1412,https://x.com/SambitBobby
onefrom7billion,1 from 7B,HUMAN,65,True,"Authentic human with unique bio emphasizing startups, business, technology, and independent thinking; investor signals present through startup enthusiast and building activities, but lacks explicit investor keywords like 'investor' or 'VC'.",121,123,https://x.com/onefrom7billion
nullhypeai,Null Hype,HUMAN,65,True,"Authentic human with unique bio focused on AI strategy, product economics, and enterprise SaaS; shows professional expertise and niche interests, but lacks direct investor keywords like 'investor' or 'VC', though implies business acumen suitable for peer engagement.",97,266,https://x.com/nullhypeai
starship44008,Starship,HUMAN,65,True,"Authentic human with personal interests (Tesla, X-Files, art, space) and investor keywords (Invest, Tesla Owner). Low follower count but genuine bio suggests a real person with investment interest, suitable for DM as a peer.",33,24,https://x.com/starship44008
Rational_Tesla,Rational Tesla,HUMAN,65,True,"Authentic human with unique bio expressing specific interests in Tesla and related technologies, including investor-relevant terms like 'FSD' and 'RoboTaxi'. Moderate investor signal due to focus on Tesla, but limited explicit investor keywords or high follower count.",32,111,https://x.com/Rational_Tesla
